Student_ID,Attendance_Percent,Study_Hours_Per_Day,Activities_Participation,Previous_Sem_Marks,Backlogs,Assignment_Completion_Percent,Participation_Score,Final_Marks,Pass_Fail
STU0001,84.0,3.7,1,80.1,2,91.7,2.5,61.9,Pass
STU0002,76.3,2.8,0,80.0,2,57.4,2.7,50.3,Pass
STU0003,85.8,3.7,2,72.9,4,73.4,6.0,57.4,Pass
STU0004,96.3,4.4,3,98.0,1,86.1,7.2,83.0,Pass
STU0005,75.2,3.6,0,72.5,0,72.0,2.8,59.8,Pass
STU0006,75.2,3.6,3,68.9,0,70.4,2.7,73.9,Pass
STU0007,97.0,2.3,2,93.5,0,79.8,3.0,71.6,Pass
STU0008,87.2,2.4,3,77.4,0,81.9,7.5,75.7,Pass
STU0009,72.4,1.1,2,64.3,2,66.6,2.8,39.8,Fail
STU0010,84.5,6.5,2,91.3,0,98.5,5.1,88.3,Pass
STU0011,72.4,1.4,3,56.3,3,43.2,6.6,35.3,Fail
STU0012,72.4,2.3,2,66.9,2,55.7,3.4,61.1,Pass
STU0013,80.9,2.3,3,83.8,1,65.3,4.5,73.1,Pass
STU0014,55.0,5.0,2,70.7,0,63.0,6.0,73.3,Pass
STU0015,57.3,3.0,0,58.3,2,73.9,5.8,60.0,Pass
STU0016,71.3,5.6,1,92.7,2,76.7,3.5,75.7,Pass
STU0017,65.8,2.4,3,62.8,1,68.9,6.8,57.4,Pass
STU0018,81.8,4.0,2,82.7,0,66.0,4.2,75.4,Pass
STU0019,67.1,2.1,3,71.2,2,68.0,3.3,61.0,Pass
STU0020,61.1,7.1,1,83.6,0,92.2,5.2,78.5,Pass
STU0021,95.6,1.5,2,73.2,1,88.1,2.2,52.9,Pass
STU0022,75.3,4.0,0,77.1,3,68.3,4.2,56.7,Pass
STU0023,78.8,4.6,1,75.3,0,79.7,8.9,72.9,Pass
STU0024,60.9,4.2,1,75.4,3,69.2,5.8,41.8,Pass
STU0025,71.5,3.2,0,61.2,1,70.1,3.1,45.2,Pass
STU0026,79.3,3.3,4,72.8,0,73.1,7.1,72.9,Pass
STU0027,64.2,3.6,6,65.6,2,67.1,5.3,65.1,Pass
STU0028,82.5,3.3,4,75.3,1,74.7,4.4,70.3,Pass
STU0029,70.8,5.1,3,76.1,1,64.2,5.3,84.7,Pass
STU0030,74.5,7.3,1,88.2,0,100.0,5.0,87.8,Pass
STU0031,70.8,2.6,4,75.5,1,95.4,3.4,68.0,Pass
STU0032,100.0,1.2,2,57.0,0,76.2,3.4,48.7,Pass
STU0033,77.8,3.3,3,59.9,2,64.9,4.8,57.4,Pass
STU0034,65.3,7.9,2,87.2,2,90.8,7.9,87.2,Pass
STU0035,87.9,2.1,0,70.3,0,79.4,1.1,49.5,Pass
STU0036,63.3,6.3,2,85.9,0,92.7,3.1,76.3,Pass
STU0037,80.5,6.4,2,85.0,0,95.9,5.5,90.8,Pass
STU0038,54.5,2.6,3,70.9,0,65.4,6.5,59.4,Pass
STU0039,62.1,4.5,1,65.6,0,54.8,5.0,62.6,Pass
STU0040,80.4,6.3,0,89.9,0,100.0,4.5,87.4,Pass
STU0041,86.9,2.9,1,69.5,1,80.1,3.3,72.7,Pass
STU0042,80.1,3.2,3,68.6,3,66.1,6.0,55.8,Pass
STU0043,76.6,2.5,1,61.3,0,55.4,4.9,67.7,Pass
